REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
SHROOM3	NM_020859	['ENST00000486758', 'ENST00000296043']
SC5D	NM_006918	['ENST00000264027', 'ENST00000524683']
SHROOM1	NM_001172700	['ENST00000378679']
MTIF2	NM_001005369	['ENST00000394600']
SHROOM4	NM_020717	['ENST00000289292', 'ENST00000460112', 'ENST00000376020']
MIOS	NM_019005	['ENST00000493227', 'ENST00000340080']
PELI1	NM_020651	['ENST00000358912']
SPART	NM_015087	['ENST00000438666', 'ENST00000495510']
PELI3	NM_145065	['ENST00000320740', 'ENST00000524466']
SPARC	NM_003118	['ENST00000231061']
ATE1	NM_001001976	['ENST00000535655', 'ENST00000224652']
SCN11A	NM_014139	['ENST00000456224', 'ENST00000302328', 'ENST00000444237']
GFER	NM_005262	['ENST00000248114']
NFRKB	NM_006165	['ENST00000304521']
SRPK3	NM_014370	['ENST00000489426', 'ENST00000370101']
SRPK2	NM_182691	['ENST00000489828', 'ENST00000357311']
CFAP300	NM_032930	['ENST00000434758']
BDKRB2	NM_000623	['ENST00000542454', 'ENST00000306005']
CEP170	NM_014812	['ENST00000366542']
FAM20A	NM_017565	['ENST00000226094']
FAM20B	NM_014864	['ENST00000263733']
FAM20C	NM_020223	['ENST00000313766', 'ENST00000515795']
FGL1	NM_004467	['ENST00000427924']
SECTM1	NM_003004	['ENST00000269389']
CXXC1	NM_001101654	['ENST00000285106']
NPC1L1	NM_013389	['ENST00000289547']
AGGF1	NM_018046	['ENST00000312916', 'ENST00000506806']
MAGEA8	NM_001166400	['ENST00000535454']
MAGEA3	NM_005362	['ENST00000370278']
MAGEA4	NM_001011548	['ENST00000276344']
TEX13B	NM_031273	['ENST00000302917']
RDH8	NM_015725	['ENST00000171214']
EEA1	NM_003566	['ENST00000322349']
RDH5	NM_002905	['ENST00000550412', 'ENST00000257895', 'ENST00000550608']
MAOA	NM_000240	['ENST00000338702']
STN1	NM_024928	['ENST00000224950', 'ENST00000369764']
SLIT3	NM_003062	['ENST00000518140', 'ENST00000519560']
SLIT2	NM_004787	['ENST00000273739', 'ENST00000504154']
HOMER1	NM_004272	['ENST00000334082']
HOMER2	NM_004839	['ENST00000304231']
NXF3	NM_022052	['ENST00000425463', 'ENST00000497850', 'ENST00000395065']
FXN	NM_000144	['ENST00000377270']
THAP1	NM_018105	['ENST00000254250']
NIPAL3	NM_020448	['ENST00000358028', 'ENST00000003912', 'ENST00000432012']
NIPAL4	NM_001099287	['ENST00000519946', 'ENST00000311946']
THAP5	NM_001130475	['ENST00000415914']
CHID1	NM_001142675	['ENST00000449825']
EWSR1	NM_001163285	['ENST00000397938']
TRIM11	NM_145214	['ENST00000284551', 'ENST00000366699']
RPN1	NM_002950	['ENST00000497289', 'ENST00000296255']
RPN2	NM_002951	['ENST00000237530']
RPL26	NM_000987	['ENST00000293842']
TRIM17	NM_016102	['ENST00000366698']
AHCTF1	NM_015446	['ENST00000326225', 'ENST00000470300']
CCRL2	NM_003965	['ENST00000399036', 'ENST00000357392']
IQCK	NM_153208	['ENST00000320394', 'ENST00000308214']
EFNB1	NM_004429	['ENST00000204961']
CHI3L1	NM_001276	['ENST00000473185', 'ENST00000255409']
PIWIL3	NM_001008496	['ENST00000332271']
CYP4F2	NM_001082	['ENST00000221700', 'ENST00000392846']
ARL2BP	NM_012106	['ENST00000219204']
ASB3	NM_001201965	['ENST00000406687']
ASB1	NM_001040445	['ENST00000264607']
CHAD	NM_001267	['ENST00000258969', 'ENST00000508540']
IL1RAPL1	NM_014271	['ENST00000378993']
ASB9	NM_001031739	['ENST00000380488']
SAG	NM_000541	['ENST00000409110', 'ENST00000447536', 'ENST00000449594']
ZAR1	NM_175619	['ENST00000327939']
ANKRD30B	NM_001145029	['ENST00000580206', 'ENST00000320584', 'ENST00000358984']
SLC47A2	NM_152908	['ENST00000574220', 'ENST00000350657']
SLC47A1	NM_018242	['ENST00000457293', 'ENST00000270570']
ATG7	NM_006395	['ENST00000354449']
SLC16A12	NM_213606	['ENST00000341233']
CHM	NM_000390	['ENST00000357749']
RINT1	NM_021930	['ENST00000257700']
TBL3	NM_006453	['ENST00000568546', 'ENST00000569628']
PDE8B	NM_003719	['ENST00000264917']
DBI	NM_001079862	['ENST00000355857']
DBH	NM_000787	['ENST00000393056']
MANBA	NM_005908	['ENST00000514430']
PGAM4	NM_001029891	['ENST00000458128']
ZNF175	NM_007147	['ENST00000262259']
FABP2	NM_000134	['ENST00000274024']
TMEM47	NM_031442	['ENST00000275954']
DBT	NM_001918	['ENST00000370131', 'ENST00000370132']
TMEM43	NM_024334	['ENST00000306077']
TMEM42	NM_144638	['ENST00000302392']
FANCD2	NM_033084	['ENST00000287647']
FABP1	NM_001443	['ENST00000295834']
GABRA5	NM_000810	['ENST00000335625']
MESP1	NM_018670	['ENST00000300057']
PINK1	NM_032409	['ENST00000400490', 'ENST00000321556']
SMARCB1	NM_003073	['ENST00000263121', 'ENST00000417137']
MNX1	NM_005515	['ENST00000252971']
ZNF600	NM_198457	['ENST00000338230']
ZNF607	NM_032689	['ENST00000355202']
ZGPAT	NM_032527	['ENST00000328969']
TREX2	NM_080701	['ENST00000370231']
PKDREJ	NM_006071	['ENST00000253255']
TREX1	NM_033629	['ENST00000296443']
POP1	NM_015029	['ENST00000401707']
GABRA3	NM_000808	['ENST00000370314']
CAMTA1	NM_015215	['ENST00000439411', 'ENST00000303635']
PPP1R9A	NM_001166160	['ENST00000289495']
CCDC90B	NM_021825	['ENST00000525503', 'ENST00000529611', 'ENST00000529689', 'ENST00000455220']
AFM	NM_001133	['ENST00000226355']
TCF7	NM_213648	['ENST00000395023', 'ENST00000378560']
TCF3	NM_001136139	['ENST00000344749', 'ENST00000586410', 'ENST00000453954']
TCF3	NM_003200	['ENST00000344749', 'ENST00000262965']
BVES	NM_007073	['ENST00000314641']
GCK	NM_000162	['ENST00000403799']
GCK	NM_033508	['ENST00000395796']
NPFFR2	NM_004885	['ENST00000308744']
SCMH1	NM_001031694	['ENST00000326197', 'ENST00000402904']
EPS8L2	NM_022772	['ENST00000529346', 'ENST00000526909', 'ENST00000531393', 'ENST00000527832', 'ENST00000533256', 'ENST00000318562']
EPS8L3	NM_139053	['ENST00000369805']
AFP	NM_001134	['ENST00000395792', 'ENST00000515675']
STK32C	NM_173575	['ENST00000462160', 'ENST00000368622', 'ENST00000298630', 'ENST00000368625']
ABTB1	NM_172027	['ENST00000393363']
PROZ	NM_003891	['ENST00000375547']
AZGP1	NM_001185	['ENST00000292401']
PPP5C	NM_001204284	['ENST00000012443', 'ENST00000487483']
BTD	NM_000060	['ENST00000303498', 'ENST00000383778', 'ENST00000437172']
BTC	NM_001729	['ENST00000395743']
NXPH3	NM_007225	['ENST00000328741']
NXPH1	NM_152745	['ENST00000405863']
ANGPTL8	NM_018687	['ENST00000252453']
PROC	NM_000312	['ENST00000453608', 'ENST00000234071']
BTK	NM_000061	['ENST00000308731', 'ENST00000372880']
MDN1	NM_014611	['ENST00000428876', 'ENST00000369393']
MMP14	NM_004995	['ENST00000311852']
AMPD3	NM_001025389	['ENST00000444303']
AMPD2	NM_001257360	['ENST00000342115']
AMPD1	NM_000036	['ENST00000369538']
RASGRP1	NM_005739	['ENST00000310803']
RASGRP4	NM_170604	['ENST00000592322', 'ENST00000589358']
PRPF40B	NM_001031698	['ENST00000380281', 'ENST00000261897', 'ENST00000548825']
TRADD	NM_003789	['ENST00000486556', 'ENST00000563348', 'ENST00000345057']
RPS6KB2	NM_003952	['ENST00000312629', 'ENST00000525088']
FAM177B	NM_207468	['ENST00000391880', 'ENST00000445590']
CST9	NM_001008693	['ENST00000376971']
MRGPRX1	NM_147199	['ENST00000302797']
MRGPRX3	NM_054031	['ENST00000396275']
TNFRSF6B	NM_003823	['ENST00000492259', 'ENST00000480273']
GPCPD1	NM_019593	['ENST00000481038', 'ENST00000379019']
DPAGT1	NM_001382	['ENST00000481084', 'ENST00000354202', 'ENST00000461999']
TET1	NM_030625	['ENST00000373644']
TET2	NM_001127208	['ENST00000540549']
C12orf10	NM_021640	['ENST00000551670', 'ENST00000267103', 'ENST00000548845']
BUD13	NM_032725	['ENST00000260210']
DLST	NM_001933	['ENST00000334220']
F2RL3	NM_003950	['ENST00000248076']
F2RL1	NM_005242	['ENST00000296677']
CT47B1	NM_001145718	['ENST00000371311']
TMC8	NM_152468	['ENST00000590799', 'ENST00000318430', 'ENST00000589691']
PRDX6	NM_004905	['ENST00000340385']
PCBD1	NM_000281	['ENST00000299299']
PRDX2	NM_005809	['ENST00000301522']
PRDX1	NM_002574	['ENST00000262746']
AP3S2	NM_005829	['ENST00000336418']
PITX2	NM_153427	['ENST00000354925']
PITX2	NM_000325	['ENST00000306732', 'ENST00000557119']
PITX2	NM_153426	['ENST00000354925']
PITX3	NM_005029	['ENST00000370002']
PITX1	NM_002653	['ENST00000265340']
AXIN2	NM_004655	['ENST00000307078', 'ENST00000577662', 'ENST00000585045']
AXIN1	NM_003502	['ENST00000262320']
MMRN2	NM_024756	['ENST00000372027']
MMRN1	NM_007351	['ENST00000394980']
CAMP	NM_004345	['ENST00000296435']
CSTB	NM_000100	['ENST00000291568']
IL2RG	NM_000206	['ENST00000374202']
KANK2	NM_001136191	['ENST00000432929', 'ENST00000589894', 'ENST00000586659', 'ENST00000590400']
SULT2A1	NM_003167	['ENST00000222002']
CROCC	NM_014675	['ENST00000466256', 'ENST00000375541']
APOE	NM_000041	['ENST00000252486']
LYPLAL1	NM_138794	['ENST00000366928']
LACC1	NM_001128303	['ENST00000441843']
KATNB1	NM_005886	['ENST00000379661']
SCGB3A2	NM_054023	['ENST00000296694']
DCAF7	NM_005828	['ENST00000310827']
DCAF6	NM_001198956	['ENST00000367840']
DCAF4	NM_015604	['ENST00000553457', 'ENST00000555042']
DCAF8	NM_015726	['ENST00000326837', 'ENST00000368074', 'ENST00000368073', 'ENST00000475733', 'ENST00000610139']
LAMP2	NM_002294	['ENST00000434600']
LAMP2	NM_013995	['ENST00000371335']
CD38	NM_001775	['ENST00000502843', 'ENST00000226279']
ZFR	NM_016107	['ENST00000505366', 'ENST00000265069']
CD33	NM_001772	['ENST00000262262']
CD36	NM_001001547	['ENST00000309881']
POLR3B	NM_018082	['ENST00000228347']
POLR3A	NM_007055	['ENST00000372371']
APCDD1	NM_153000	['ENST00000355285']
TXNDC5	NM_001145549	['ENST00000379757', 'ENST00000439343', 'ENST00000539054']
TOPORS	NM_005802	['ENST00000360538']
EP300	NM_001429	['ENST00000263253']
DNMT1	NM_001130823	['ENST00000340748', 'ENST00000592342']
PSD3	NM_015310	['ENST00000327040']
PSD4	NM_012455	['ENST00000460725', 'ENST00000418251', 'ENST00000245796', 'ENST00000464559']
TUT1	NM_022830	['ENST00000308436']
ASRGL1	NM_001083926	['ENST00000415229']
WDR66	NM_144668	['ENST00000288912']
TUT4	NM_001009881	['ENST00000371544']
WDR64	NM_144625	['ENST00000366552', 'ENST00000437684']
PRMT8	NM_001256536	['ENST00000261252', 'ENST00000382622']
PRMT9	NM_138364	['ENST00000322396', 'ENST00000510269']
HOXD4	NM_014621	['ENST00000306324']
PRMT3	NM_005788	['ENST00000331079']
SLC25A1	NM_005984	['ENST00000215882', 'ENST00000451283']
TONSL	NM_013432	['ENST00000409379']
HOXD1	NM_024501	['ENST00000331462']
HOXD3	NM_006898	['ENST00000249440']
TMEM176A	NM_018487	['ENST00000004103']
HMGCR	NM_000859	['ENST00000287936']
MTPAP	NM_018109	['ENST00000358107', 'ENST00000421701', 'ENST00000263063']
KIF5A	NM_004984	['ENST00000455537']
KIF5B	NM_004521	['ENST00000302418']
KIF5C	NM_004522	['ENST00000460377', 'ENST00000435030', 'ENST00000482151', 'ENST00000397413']
MASP1	NM_001879	['ENST00000337774']
MASP1	NM_139125	['ENST00000296280', 'ENST00000392472']
MASP2	NM_006610	['ENST00000400897']
CD3D	NM_000732	['ENST00000300692']
CD3E	NM_000733	['ENST00000529713', 'ENST00000361763']
DMGDH	NM_013391	['ENST00000523732', 'ENST00000255189']
ACADS	NM_000017	['ENST00000411593', 'ENST00000242592']
OR10V1	NM_001005324	['ENST00000307552']
HSPG2	NM_005529	['ENST00000374695', 'ENST00000486901']
KAT2B	NM_003884	['ENST00000263754']
CD209	NM_021155	['ENST00000315599']
IFNGR1	NM_000416	['ENST00000367739', 'ENST00000367735']
IFNGR2	NM_005534	['ENST00000290219']
SEC16A	NM_014866	['ENST00000313050', 'ENST00000313084']
SEC16B	NM_033127	['ENST00000354921', 'ENST00000466953', 'ENST00000464631', 'ENST00000464428']
TDRD10	NM_001098475	['ENST00000368480', 'ENST00000368482']
ACADL	NM_001608	['ENST00000498120', 'ENST00000233710']
ACADM	NM_000016	['ENST00000370841', 'ENST00000534334']
SUCO	NM_014283	['ENST00000263688']
CD207	NM_015717	['ENST00000410009']
IARS2	NM_018060	['ENST00000366922']
USP49	NM_018561	['ENST00000373006']
USP48	NM_032236	['ENST00000374732', 'ENST00000464577', 'ENST00000400301']
USP45	NM_001080481	['ENST00000329966', 'ENST00000392738', 'ENST00000327681', 'ENST00000500704']
USP44	NM_032147	['ENST00000258499']
USP46	NM_022832	['ENST00000441222']
PPARGC1A	NM_013261	['ENST00000509702', 'ENST00000264867', 'ENST00000507380']
PPARGC1B	NM_133263	['ENST00000309241', 'ENST00000394320']
XDH	NM_000379	['ENST00000379416']
CX3CL1	NM_002996	['ENST00000006053']
PLIN1	NM_002666	['ENST00000300055']
UMPS	NM_000373	['ENST00000232607']
CDK11A	NM_024011	['ENST00000378633', 'ENST00000404249', 'ENST00000356200']
SCRN1	NM_001145514	['ENST00000242059']
TNP1	NM_003284	['ENST00000236979']
ACAD8	NM_014384	['ENST00000527082', 'ENST00000533387', 'ENST00000281182', 'ENST00000543332', 'ENST00000537423']
ACAD9	NM_014049	['ENST00000308982', 'ENST00000511526', 'ENST00000505192']
NANOS3	NM_001098622	['ENST00000397555']
ZPR1	NM_003904	['ENST00000227322']
CYP2E1	NM_000773	['ENST00000252945', 'ENST00000368520']
LENG8	NM_052925	['ENST00000443957', 'ENST00000376526', 'ENST00000326764']
NPBWR1	NM_005285	['ENST00000331251']
SRCAP	NM_006662	['ENST00000395059', 'ENST00000262518', 'ENST00000380361']
RPS7	NM_001011	['ENST00000304921', 'ENST00000481006', 'ENST00000472966']
ADAMTS10	NM_030957	['ENST00000596851', 'ENST00000270328', 'ENST00000595838']
ADAMTS13	NM_139025	['ENST00000371929']
PLCE1	NM_016341	['ENST00000260766']
ADAMTS17	NM_139057	['ENST00000378898', 'ENST00000557896', 'ENST00000268070']
ADAMTS16	NM_139056	['ENST00000511368', 'ENST00000274181', 'ENST00000433402']
ADAMTS19	NM_133638	['ENST00000274487']
ADAMTS18	NM_199355	['ENST00000282849']
SLC52A1	NM_017986	['ENST00000512825', 'ENST00000573674', 'ENST00000424747']
SLC52A3	NM_033409	['ENST00000381944', 'ENST00000217254']
SLC52A2	NM_024531	['ENST00000329994', 'ENST00000532887']
DHX58	NM_024119	['ENST00000251642', 'ENST00000586522']
DHX57	NM_198963	['ENST00000460193', 'ENST00000474104', 'ENST00000295373']
HPF1	NM_017867	['ENST00000393381']
TMEM201	NM_001130924	['ENST00000377376']
SLC6A19	NM_001003841	['ENST00000304460']
SLC6A18	NM_182632	['ENST00000324642']
TMEM205	NM_033408	['ENST00000447337']
AJM1	NM_001080482	['ENST00000436881']
SLC6A13	NM_001190997	['ENST00000445055']
SLC6A13	NM_001243392	['ENST00000436453']
SLC6A12	NM_003044	['ENST00000424061']
SLC6A11	NM_014229	['ENST00000254488', 'ENST00000454147']
SLC6A17	NM_001010898	['ENST00000331565', 'ENST00000465159']
SLC6A15	NM_182767	['ENST00000266682']
GALT	NM_000155	['ENST00000378842', 'ENST00000555086']
HMGCS2	NM_005518	['ENST00000369406']
KIAA1324	NM_001267048	['ENST00000369936']
GALE	NM_000403	['ENST00000374497']
IGSF22	NM_173588	['ENST00000319338', 'ENST00000513874']
GALC	NM_000153	['ENST00000261304']
CYP4F22	NM_173483	['ENST00000269703']
RPSA	NM_002295	['ENST00000496398', 'ENST00000301821']
NUP54	NM_017426	['ENST00000264883']
TAPBP	NM_003190	['ENST00000456592', 'ENST00000546700', 'ENST00000374572', 'ENST00000383198', 'ENST00000383066', 'ENST00000434618', 'ENST00000417059']
ADRB1	NM_000684	['ENST00000369295']
ADRB2	NM_000024	['ENST00000305988']
ADRB3	NM_000025	['ENST00000345060']
CSNK2B	NM_001320	['ENST00000437010', 'ENST00000375865', 'ENST00000383427', 'ENST00000475875', 'ENST00000550832', 'ENST00000461323', 'ENST00000454511', 'ENST00000490307', 'ENST00000476407', 'ENST00000418230', 'ENST00000465367', 'ENST00000422567', 'ENST00000416194', 'ENST00000383433', 'ENST00000383431', 'ENST00000451917', 'ENST00000413083', 'ENST00000493079', 'ENST00000443673', 'ENST00000486289', 'ENST00000454382', 'ENST00000468255', 'ENST00000429633', 'ENST00000452985', 'ENST00000431476', 'ENST00000443952', 'ENST00000375882', 'ENST00000375880', 'ENST00000457089', 'ENST00000412802']
MCM3AP	NM_003906	['ENST00000496607', 'ENST00000467026', 'ENST00000486937', 'ENST00000291688']
FCGR3A	NM_000569	['ENST00000367969']
FCGR3B	NM_000570	['ENST00000367964']
FCGR3B	NM_001244753	['ENST00000294800']
ALDH1A2	NM_003888	['ENST00000249750']
ALDH1A3	NM_000693	['ENST00000329841']
PRICKLE1	NM_153026	['ENST00000345127', 'ENST00000455697']
PRICKLE2	NM_198859	['ENST00000295902']
PRICKLE3	NM_006150	['ENST00000536904', 'ENST00000376317', 'ENST00000540849']
CCNJL	NM_024565	['ENST00000393977', 'ENST00000377503', 'ENST00000257536']
PCYOX1	NM_016297	['ENST00000433351']
SOX6	NM_033326	['ENST00000533658', 'ENST00000530378', 'ENST00000533870', 'ENST00000396356']
RPL27	NM_000988	['ENST00000253788']
TAC3	NM_013251	['ENST00000458521', 'ENST00000438756', 'ENST00000300108']
RPL21	NM_000982	['ENST00000311549']
SLC16A11	NM_153357	['ENST00000308009']
SLC16A10	NM_018593	['ENST00000368851', 'ENST00000368850']
ATG5	NM_004849	['ENST00000369076', 'ENST00000369070', 'ENST00000343245']
EYA4	NM_004100	['ENST00000367895']
SPINK5	NM_006846	['ENST00000359874']
RNF31	NM_017999	['ENST00000559275', 'ENST00000324103', 'ENST00000558468']
EYA1	NM_000503	['ENST00000340726']
SPINK2	NM_021114	['ENST00000248701']
SPINK1	NM_003122	['ENST00000296695']
CALHM1	NM_001001412	['ENST00000329905']
CALHM3	NM_001129742	['ENST00000369783']
CD27	NM_001242	['ENST00000266557']
PIEZO1	NM_001142864	['ENST00000419505', 'ENST00000301015', 'ENST00000484567']
TDRD6	NM_001010870	['ENST00000544460']
HPD	NM_002150	['ENST00000289004']
RAD54B	NM_012415	['ENST00000336148']
OR4Q3	NM_172194	['ENST00000331723']
RSPH6A	NM_030785	['ENST00000600188', 'ENST00000221538']
HAVCR1	NM_012206	['ENST00000339252', 'ENST00000522693', 'ENST00000523175']
FXYD2	NM_001680	['ENST00000292079', 'ENST00000317594']
MTBP	NM_022045	['ENST00000305949', 'ENST00000522308']
FBP1	NM_000507	['ENST00000375326']
CREBL2	NM_001310	['ENST00000228865']
MAFA	NM_201589	['ENST00000333480']
MAFB	NM_005461	['ENST00000373313']
PLIN2	NM_001122	['ENST00000276914']
C6orf15	NM_014070	['ENST00000427005', 'ENST00000383532', 'ENST00000440933', 'ENST00000259870', 'ENST00000452899', 'ENST00000412706']
DVL2	NM_004422	['ENST00000572285', 'ENST00000005340']
SMAP2	NM_022733	['ENST00000372718']
KDM4B	NM_015015	['ENST00000381759', 'ENST00000159111']
RBPJ	NM_005349	['ENST00000342320', 'ENST00000514380']
MED12	NM_005120	['ENST00000333646', 'ENST00000374080']
KLF5	NM_001730	['ENST00000377687']
MED13	NM_005121	['ENST00000583958', 'ENST00000397786']
MED15	NM_001003891	['ENST00000489651', 'ENST00000263205']
CYP2A13	NM_000766	['ENST00000330436']
MED17	NM_004268	['ENST00000530819', 'ENST00000251871']
RBP1	NM_002899	['ENST00000232219']
RBP3	NM_002900	['ENST00000224600']
RBP4	NM_006744	['ENST00000371464']
RBP5	NM_031491	['ENST00000266560']
KRAS	NM_004985	['ENST00000311936', 'ENST00000556131']
KRAS	NM_033360	['ENST00000311936']
ADAM7	NM_003817	['ENST00000520720', 'ENST00000175238', 'ENST00000441335']
SGO2	NM_152524	['ENST00000357799']
SGO1	NM_001199252	['ENST00000263753']
ACSL4	NM_004458	['ENST00000348502', 'ENST00000340800']
ADAM9	NM_003816	['ENST00000487273']
EGFL7	NM_016215	['ENST00000406555']
EGFL6	NM_001167890	['ENST00000361306']
ARPC1B	NM_005720	['ENST00000252725']
SMPX	NM_014332	['ENST00000379494']
EEF1D	NM_032378	['ENST00000532741', 'ENST00000442189', 'ENST00000423316']
IL20RA	NM_014432	['ENST00000316649', 'ENST00000367748']
HTR5A	NM_024012	['ENST00000287907']
IL20RB	NM_144717	['ENST00000475972', 'ENST00000329582']
RPL9	NM_000661	['ENST00000295955', 'ENST00000437992']
HR	NM_005144	['ENST00000381418']
TRIM32	NM_012210	['ENST00000450136']
HP	NM_005143	['ENST00000355906']
RPL5	NM_000969	['ENST00000461952', 'ENST00000370321']
TRIM37	NM_015294	['ENST00000376149']
TRIM36	NM_018700	['ENST00000513154', 'ENST00000282369']
G6PC3	NM_138387	['ENST00000269097']
G6PC2	NM_021176	['ENST00000282075']
FEN1	NM_004111	['ENST00000305885']
KREMEN1	NM_032045	['ENST00000400338', 'ENST00000327813']
ACSL5	NM_016234	['ENST00000356116']
NEK10	NM_199347	['ENST00000491627', 'ENST00000341435', 'ENST00000295720', 'ENST00000574215']
NEK11	NM_024800	['ENST00000383366', 'ENST00000429253']
FAT3	NM_001008781	['ENST00000409404', 'ENST00000298047']
NEBL	NM_006393	['ENST00000377122']
FAT2	NM_001447	['ENST00000261800', 'ENST00000520200']
WISP3	NM_003880	['ENST00000454589', 'ENST00000604763']
ERMAP	NM_018538	['ENST00000372514', 'ENST00000372517', 'ENST00000328249']
CCDC186	NM_018017	['ENST00000369285', 'ENST00000369287', 'ENST00000369286']
TROAP	NM_005480	['ENST00000257909', 'ENST00000551245', 'ENST00000551192']
C14orf39	NM_174978	['ENST00000321731']
MN1	NM_002430	['ENST00000302326']
SCLT1	NM_144643	['ENST00000511426', 'ENST00000506368', 'ENST00000434680', 'ENST00000281142', 'ENST00000506233']
ANKRD26	NM_014915	['ENST00000376087']
RHOH	NM_004310	['ENST00000381799']
ANKRD23	NM_144994	['ENST00000318357']
ANKRD22	NM_144590	['ENST00000371930']
ACO1	NM_002197	['ENST00000541043', 'ENST00000379923']
PTGES	NM_004878	['ENST00000481476', 'ENST00000340607']
ACO2	NM_001098	['ENST00000216254']
INHA	NM_002191	['ENST00000243786']
TMEM65	NM_194291	['ENST00000297632']
TMEM62	NM_024956	['ENST00000260403']
TMEM61	NM_182532	['ENST00000371268']
ITM2C	NM_030926	['ENST00000326427']
ITM2B	NM_021999	['ENST00000378565']
KLHL41	NM_006063	['ENST00000284669']
KLHL40	NM_152393	['ENST00000287777']
CIR1	NM_004882	['ENST00000342016', 'ENST00000362053']
NEDD4	NM_198400	['ENST00000508342', 'ENST00000338963']
P2RY11	NM_002566	['ENST00000321826']
TRIM38	NM_006355	['ENST00000357085']
P2RY12	NM_022788	['ENST00000302632']
PAXBP1	NM_016631	['ENST00000331923']
NLGN4X	NM_020742	['ENST00000381093']
ZNF628	NM_033113	['ENST00000391718']
ZNF624	NM_020787	['ENST00000311331']
ZNF620	NM_175888	['ENST00000314529']
UGT2B15	NM_001076	['ENST00000338206']
UGT2B10	NM_001075	['ENST00000505092', 'ENST00000265403']
APAF1	NM_181861	['ENST00000357310']
ADA	NM_000022	['ENST00000372874']
TMEM120A	NM_031925	['ENST00000338761', 'ENST00000440632', 'ENST00000417509']
ADK	NM_001123	['ENST00000372734']
PROX2	NM_001243007	['ENST00000556084']
ATCAY	NM_033064	['ENST00000450849']
USHBP1	NM_031941	['ENST00000597928', 'ENST00000252597']
ZNF480	NM_144684	['ENST00000595962']
VIPAS39	NM_022067	['ENST00000553888']
RETREG1	NM_001034850	['ENST00000306320']
RETREG2	NM_024293	['ENST00000430297']
PRM1	NM_002761	['ENST00000312511']
PRM2	NM_002762	['ENST00000241808']
ACVR1	NM_001105	['ENST00000263640']
KALRN	NM_003947	['ENST00000240874', 'ENST00000393501']
KALRN	NM_007064	['ENST00000291478', 'ENST00000393496']
NCS1	NM_014286	['ENST00000372398']
HIST1H2AL	NM_003511	['ENST00000357320']
HIST1H2AE	NM_021052	['ENST00000303910']
THAP11	NM_020457	['ENST00000303596']
PRPF18	NM_003675	['ENST00000378572', 'ENST00000419851']
GOLGB1	NM_001256486	['ENST00000393667']
TRAF3	NM_003300	['ENST00000560371']
TRAF6	NM_145803	['ENST00000526995']
TRAF7	NM_032271	['ENST00000326181']
TMPRSS2	NM_001135099	['ENST00000398585']
HOOK1	NM_015888	['ENST00000371208']
TMPRSS4	NM_019894	['ENST00000534111', 'ENST00000437212']
TMPRSS5	NM_030770	['ENST00000299882']
TMPRSS6	NM_153609	['ENST00000406856', 'ENST00000442782', 'ENST00000346753']
TSC2	NM_000548	['ENST00000219476']
SEBOX	NM_001080837	['ENST00000431468']
ABCC12	NM_033226	['ENST00000311303', 'ENST00000528693', 'ENST00000529084']
ABCC11	NM_032583	['ENST00000565329', 'ENST00000394748']
A1CF	NM_001198819	['ENST00000374001']
CBX2	NM_005189	['ENST00000310942']
DSPP	NM_014208	['ENST00000399271']
EMG1	NM_006331	['ENST00000261406', 'ENST00000564245']
DKC1	NM_001363	['ENST00000369550']
TBC1D10B	NM_015527	['ENST00000409939', 'ENST00000475650']
MOV10	NM_001130079	['ENST00000369644', 'ENST00000413052']
MOCS3	NM_014484	['ENST00000244051']
MOCS2	NM_004531	['ENST00000396954']
MOCS2	NM_176806	['ENST00000450852']
MOCS1	NM_005943	['ENST00000308559', 'ENST00000373186']
MOCS1	NM_001075098	['ENST00000308559']
BPIFB6	NM_174897	['ENST00000349552', 'ENST00000542375']
BPIFB4	NM_182519	['ENST00000375483']
OARD1	NM_145063	['ENST00000479950', 'ENST00000465893', 'ENST00000244558']
COMMD1	NM_152516	['ENST00000311832']
LINS1	NM_001040616	['ENST00000559169', 'ENST00000561308', 'ENST00000314742']
METTL13	NM_015935	['ENST00000361735']
METTL17	NM_001029991	['ENST00000339374']
METTL14	NM_020961	['ENST00000388822']
ZMYM2	NM_003453	['ENST00000382869']
NPR1	NM_000906	['ENST00000368680']
NPR2	NM_003995	['ENST00000342694', 'ENST00000464810']
NPR3	NM_000908	['ENST00000265074']
ZMYM6	NM_007167	['ENST00000317538', 'ENST00000487874', 'ENST00000493328', 'ENST00000373340']
ZMYM5	NM_001142684	['ENST00000337963']
CAMK2D	NM_172115	['ENST00000296402']
CAMK2G	NM_172171	['ENST00000394762', 'ENST00000441192', 'ENST00000423381', 'ENST00000322680', 'ENST00000472912']
CAMK2A	NM_015981	['ENST00000348628', 'ENST00000508662']
CAMK2B	NM_001220	['ENST00000395749']
LTBP4	NM_003573	['ENST00000204005']
RNASE11	NM_145250	['ENST00000335950']
RNASE13	NM_001012264	['ENST00000382951']
SLC30A9	NM_006345	['ENST00000264451']
ENOX1	NM_017993	['ENST00000261488', 'ENST00000540032']
CD1E	NM_030893	['ENST00000444681']
ANO9	NM_001012302	['ENST00000532094', 'ENST00000534161']
CD1A	NM_001763	['ENST00000289429']
ANO5	NM_213599	['ENST00000324559']
ANO6	NM_001025356	['ENST00000320560']
C9orf57	NM_001128618	['ENST00000377024']
